"STATION","NAME","DATE","TMAX"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-19","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-20","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-21","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-22","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-23","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-24","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-25","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-26","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-27","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-28","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-29","113"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-30","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-31","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-01","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-02","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-03","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-04","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-05","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-06","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-07","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-08","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-09","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-10","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-11","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-12","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-13","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-14","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-15","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-16","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-17","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-09-18","97"
